customer_state,total_revenue,total_orders,total_customers
SP,7402808.37,40494,39149
RJ,2688933.9,12350,11917
MG,2281229.16,11354,11001
RS,1110782.47,5344,5167
PR,1030822.39,4923,4769
BA,773182.02,3256,3158
SC,767093.97,3546,3449
GO,493068.7,1957,1895
DF,421374.86,2080,2019
ES,398321.9,1995,1928
PE,361028.07,1593,1551
CE,333406.17,1279,1258
PA,254824.98,946,922
MT,251504.48,886,856
MA,195078.63,717,700
PB,177370.59,517,504
MS,162748.16,701,681
PI,133647.81,476,464
RN,115084.6,474,464
AL,108425.06999999999,397,387
SE,85694.32,335,329
TO,70934.12,274,267
RO,65200.66,243,231
AM,34503.04,145,140
AC,24890.49,80,76
AP,21521.71,67,66
RR,11300.88,41,40
